piece,perf,section,AR_Pass1,AR_Pass2,AR_Dixon,best_choice,best_AR
chopin_ballade1,Sladek04M,28-166,80.43478260869566,0.0,67.3913043478261,Pass1,80.43478260869566
chopin_ballade1,Sladek04M,166-221,83.33333333333334,0.0,77.77777777777779,Pass1,83.33333333333334
chopin_ballade1,Sladek04M,221-244,75.0,0.0,100.0,Dixon+CQT,100.0
chopin_ballade1,Sladek04M,244-370,0.0,4.878048780487805,21.951219512195124,Dixon+CQT,21.951219512195124
chopin_ballade1,Sladek04M,370-387,0.0,0.0,16.666666666666664,Dixon+CQT,16.666666666666664
chopin_ballade1,Sladek04M,387-532,0.0,95.83333333333334,87.5,Pass2,95.83333333333334
chopin_ballade1,Sladek04M,532-691,0.0,81.13207547169812,84.90566037735849,Dixon+CQT,84.90566037735849
chopin_ballade1,Sladek04M,691-703,0.0,75.0,100.0,Dixon+CQT,100.0
chopin_ballade1,Sladek04M,703-736,0.0,18.181818181818183,45.45454545454545,Dixon+CQT,45.45454545454545
chopin_ballade1,Sladek04M,736-808,0.0,0.0,4.166666666666666,Dixon+CQT,4.166666666666666
chopin_ballade1,Sladek04M,808-1066,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1066-1072,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1072-1126,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1126-1132,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1132-1144,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1144-1225,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1225-1228,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1228-1406,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1406-1410,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1410-1422,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1422-1426,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1426-1430,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1430-1434,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Sladek04M,1434-1462,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,Zhou06M,0-28,0.0,0.0,0.0,Pass1,0.0
